Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
C,X,0.0764463861073792,0.205545170035657,0.2710041712190438,1.1548354821515543,2.0554517003565698,_1779_
D,X,0.0812128928760206,0.2921534763470864,0.227367173191133,1.0503148648098035,2.9215347634708637,_1791_
A1,X,0.1389630533310077,0.5176358932449477,0.179028047454042,0.5040184523512804,5.176358932449477,_1852_
A2,X,0.116329484060472,0.4168912555390416,0.1551025463076812,0.4398205812928081,4.168912555390416,_1841_
B1,X,0.1051143785099008,0.4538415050006111,0.096618396573674,0.2885934350956385,4.538415050006111,_1864_
C1,X,0.1027070541019466,0.4402689171184071,0.0892877949626737,0.2787346543581417,4.402689171184071,_1854_
D1,X,0.0969599775135422,0.40077503561318,0.0918673080277231,0.3046620819635494,4.0077503561318,_1687_
A,Y,0.055569325019909,0.1549664884721654,0.0239627768854668,0.1318908630751913,1.549664884721654,key_in[15]
A,Y,0.1309037221227154,0.3412997758792717,0.0538085841114424,0.208530587588883,3.4129977587927165,key_in[15]
B,Y,0.1002082681308584,0.24823729885395,0.0341226501157574,0.1072491639742832,2.4823729885395,_1780_
A1,X,0.090798052202466,0.3244026250558026,0.1265457496831145,0.3821648383698417,3.2440262505580257,_1852_
A2,X,0.0806701533961889,0.2510376977348896,0.1189709475720476,0.3374849384364662,2.510376977348896,_1841_
B1,X,0.0672623850655459,0.2462493612054091,0.0740350995908939,0.3150267080809472,2.462493612054091,_1864_
A1_N,Y,0.0760841203241984,0.2901712285917076,0.0879963696261179,0.2685809983769649,2.9017122859170756,_0995_
A2_N,Y,0.0677221076163633,0.2649266991880605,0.0756162792672838,0.2390199772426477,2.6492669918806047,A2_N
B1,Y,0.0996137991955101,0.2484318932000947,0.039154253864048,0.1457897732691372,2.484318932000947,_1864_
B2,Y,0.0795505975275998,0.2121911872936303,0.0328088537846227,0.1271894014998447,2.1219118729363027,_1843_
A,Y,0.121688884635501,0.2842037241544236,0.0687232928904979,0.2187442788818144,2.8420372415442356,key_in[15]
A,Y,0.1048320071533892,0.2451831029824033,0.064088736132065,0.204289480003717,2.451831029824033,key_in[15]
A,Y,0.0498952282502029,0.1554790090681909,0.0285721975000219,0.1556850803451772,1.554790090681909,key_in[15]
A,X,0.0930937159265605,0.3062509776901787,0.2288490434151615,0.9204013367529684,3.0625097769017873,key_in[15]
B,X,0.088624360358864,0.2843985127896031,0.2126343883375953,0.8594881161168971,2.84398512789603,_1780_
C_N,X,0.113081068543062,0.3343350413374901,0.2014565238316595,0.8563323070801477,3.343350413374901,_1473_
A1,X,0.1178735614701085,0.4823674374242203,0.1707388168064234,0.5292577637065641,4.823674374242202,_1852_
A2,X,0.1148405777978259,0.4566251672689811,0.1612952456140915,0.5106080702780076,4.566251672689811,_1841_
B1,X,0.1265306922829172,0.4990682453002315,0.2181146019978019,0.5393297072708175,4.990682453002315,_1864_
B2,X,0.1142222737612436,0.4971239671733687,0.1478881642339644,0.4860961770690311,4.971239671733687,_1843_
C1,X,0.0786683795928123,0.3686999143684957,0.0787139195547916,0.2682893705357237,3.686999143684957,_1854_
A1,X,0.1157165646057115,0.384979559128204,0.1530006303846512,0.4722249946959093,3.84979559128204,_1852_
A2,X,0.1170801821964852,0.4239046456062534,0.1523319291602195,0.4876039710014179,4.239046456062534,_1841_
B1,X,0.1147983338105442,0.4113534629355918,0.1313697798838462,0.4647492799925926,4.113534629355917,_1864_
B2,X,0.1013178181141551,0.3821300328770353,0.1166557577999553,0.3996862398621369,3.8213003287703526,_1843_
A,Y,0.0362664492035759,0.1025004138356441,0.0173925705149847,0.0913278367670127,1.0250041383564408,key_in[15]
A,Y,0.108114291412902,0.2821142010962564,0.0467788807042011,0.192402071942676,2.821142010962564,key_in[15]
B,Y,0.1076837677284581,0.2807067990837107,0.0403758114759094,0.1770999091948562,2.807067990837107,_1780_
